modelo | nserie | memoria | resetmapa
145 | 46538798 | PART=68HC11KA4 | [0 40 FF] [A0 BD FF] [E0 14F FF]
145 | 46538798 | PART=68HC11KA4 | [0 BD FF] [E0 14F FF]
146 | 60631206 | PART=68HC11E9 | [10 DF FF]
146 | 60631206 | PART=68HC11E9 | [16 DF FF]
147 | 46842421 - 5WK43277 | PART=95080 | [0 9F FF] [E0 1FF FF]
147 | 60683300 | PART=95080 | [170 17B 00] [200 3FF FF]
147 | 46756117 | PART=68HC08AS32 | [30 4F 00] [50 CF FF]
147 | 46813473 | PART=68HC08AS32 | [30 4F 00] [50 CF FF]
147 | 5WK43277 | PART=95080 | [10 1FF FF]
156 | 60656767 | PART=68HC11E20 | [2 8 FF] [60 77 FF]
156 | 46409123 | PART=68HC11E9 | [10 CF FF]
156 | 60630040 | PART=68HC08AS20 | [10 4F 00] [50 CF FF]
156 | 60655033 | PART=68HC08AS20 | [10 4F 00] [50 AF FF]
156 | 60663943 | PART=68HC08AS20 | [10 4F 00] [50 CF FF]
156 | 60664962 | PART=68HC08AS20 | [10 4F 00] [50 CF FF]
156 | 60669250 | PART=68HC08AS20 | [10 4F 00] [50 CF FF]
156 | 606758876 | PART=68HC08AS60 | [10 4F 00] [50 CF FF]
156 | 60675878 | PART=68HC08AS20 | [10 4F 00] [50 CF FF]
156 | 60680213 | PART=95080 | [10 1FF FF]
156 | 60656767 | PART=68HC11E9 | [2 7 FF] [60 77 FF]
156 | 60663040 | PART=68HC08AS20 | [10 4F 00] [50 CF FF]
156 | 60665492 | PART=68HC08AS20 | [10 4F 00] [50 CF FF]
156 | 60668390 | PART=68HC08AS20 | [10 4F 00] [50 CF FF]
156 | 60683300-5WK43444 | PART=95080 | [0 4F FF]
