modelo | nserie | memoria | resetmapa
MINI | 65.77 3454345-01 | PART=95128 | [11A0 3FFF FF]
MINI | 65.77 9808714-01 | PART=95128 | [11A0 3FFF FF]
MINI | 65.77 9809354-01 | PART=95128 | [11A0 3FFF FF]
MINI | 65.77 3428715 | PART=95128 | [879 11A5 FF] [11A6 11A6 0] [11A7 11A7 05] [11A8 11A8 0] [11A9 11A9 05][11AA 1256 0] [1257 1273 FF] [1274 1328 0] [1329 232C FF] [2375 2B4C FF][2B71 2B82 FF] [2B95 336C FF] [33B5 3FFF FF]
MINI | 65.77 3451779 | PART=95128 | [879 11A5 FF] [11A6 11A6 0] [11A7 11A7 05] [11A8 11A8 0] [11A9 11A9 05][11AA 1256 0] [1257 1273 FF] [1274 1328 0] [1329 232C FF] [2375 2B4C FF][2B71 2B82 FF] [2B95 336C FF] [33B5 3FFF FF]
MINI | 65.77 3454346 | PART=95128 | [879 11A5 FF] [11A6 11A6 0] [11A7 11A7 05] [11A8 11A8 0] [11A9 11A9 05][11AA 1256 0] [1257 1273 FF] [1274 1328 0] [1329 232C FF] [2375 2B4C FF][2B71 2B82 FF] [2B95 336C FF] [33B5 3FFF FF]
MINI | 65.77 9807169 | PART=95128 | [879 11A5 FF] [11A6 11A6 0] [11A7 11A7 05] [11A8 11A8 0] [11A9 11A9 05][11AA 1256 0] [1257 1273 FF] [1274 1328 0] [1329 232C FF] [2375 2B4C FF][2B71 2B82 FF] [2B95 336C FF] [33B5 3FFF FF]
MINI | 65.77 9811223-01 | PART=95128 | [1800 1EFF FF]
MINI | 65.77 3451779-01 | PART=95128 | [1000 1FFF FF]
MINI | 610067400N | PART=95128 | [11A0 3FFF FF]
MINI | 611158000K | PART=95128 | [11A0 3FFF FF]
