modelo | nserie | memoria | resetmapa
206 | 96 334 741 80 (550 66 61 00) | PART=93C56 | [B5 BB 54][CA D7 FF][D8 EA 54]
206 | 96 344 741 80 (550 66 61 00) | PART=93C56 | [E2 E5 FF]
206 | 96 352 688 80 AK (550 54 15 00) | PART=95160 | [11E 1DD FF]
206 | 96 414 780 80 (550 66 10 00) | PART=93C56 | [B5 BB 54][CA D7 FF][D8 EA 54]
206 | 96 430 823 80 (550 54 15 00) | PART=93C66 | [150 161 FF][162 16F 54][170 17B FF]
206 | 96 449 003 80 AC (600 23 71 00) | PART=95080 | [300 32F FF][340 39F FF]
206 | 96 449 033 80 (600 23 71 00) | PART=95080 | [340 36F FF][370 3FF 54]
206 | 96 449 034 80 (600 23 72 00) | PART=95080 | [340 36F FF][370 3FF 54]
206 | 96 458 502 80 (600 90 28 00) | PART=95080 | [300 32F FF][340 39F FF]
206 | 550 54 15 00 | PART=93C66 | [170 17B 00]
206 | 550 66 10 00 | PART=93C56 | [18 EA FF]
206 | 550 66 61 00 | PART=93C56 | [18 EA FF]
206 | 600 23 70 00 | PART=95080 | [311 3FF FF]
206 | 600 23 71 00 | PART=95080 | [311 3FF FF]
206 | 600 23 72 00 | PART=95080 | [311 3FF FF]
206 | 600 90 28 00 | PART=95080 | [310 39F FF]
206 | 602 32 70 00 | PART=95080 | [311 3FF FF]
206 | 602 32 71 00 | PART=95080 | [311 3FF FF]
206 | 602 32 73 00 V1 | PART=95080 | [311 3FF FF]
206 | 602 32 73 00 V2 | PART=95080 | [310 36F 00][370 3FF FF]
206 | 603 20 10 00 | PART=95080 | [311 3FF FF]
206 | 603 20 12 00 | PART=95080 | [311 3FF FF]
206 | 96 582 850 80 - 603 20 12 00 | PART=95080 | [340 36F 0] [370 3FF FF]
206 | 96 464 691 80 (602 32 76 00) | PART=95080 | [340 36F FF][370 3FF 54]
206 | 96 501 366 80 AF (602 32 70 00) | PART=95080 | [300 32F FF][340 39F FF]
206 | 96 501 367 80 (602 32 71 00) | PART=95080 | [300 32F FF][340 39F FF]
206 | 96 501 368 80 (602 32 72 00) | PART=95080 | [340 3FF FF]
206 | 96 522 755 80 (602 32 70 00) | PART=95080 | [340 36F FF][370 3FF 54]
206 | 96 522 756 80 (602 32 71 00) | PART=95080 | [340 36F FF][370 3FF 54]
206 | 96 522 758 80 (602 32 72 00) | PART=95080 | [340 36F FF][370 3FF 54]
206 | 96 522 759 80 (602 32 73 00) | PART=95080 | [340 36F FF][370 3FF 54]
206 | 96 534 418 80 (603 20 10 00) | PART=95080 | [340 36F FF][370 3FF 54]
206 | 96 534 418 80 AE (603 20 10 00) | PART=95080 | [300 32F FF][340 39F FF]
206 | 96 534 419 80 (603 20 12 00) | PART=95080 | [340 36F FF][370 3FF 54]
206 | 96 552 759 80 AM (602 32 73 00) | PART=95080 | [300 32F FF][340 39F FF]
206 | 96 552 759 80 AM (602 32 73 00) V2 | PART=95080 | [310 3FF FF]
206 | 96 449 034 80 - 600 23 72 00 | PART=95080 | [340 36F 0] [370 3FF FF]
206 | 96 501 369 80 - 602 32 73 00 | PART=95080 | [340 36F 0] [370 3FF FF]
206 | 96 522 758 80 - 602 32 72 00 | PART=95080 | [340 36F 0] [370 3FF FF]
206 | 96 603 499 80 - 602 32 73 00 | PART=95080 | [340 36F 0] [370 3FF FF]
206CC | 602 32 72 00 | PART=95080 | [311 3FF FF]
