modelo | nserie | memoria | resetmapa
911 | 997.618.217.04 | PART=95320 | [278 28F 00] [426 68F 00]
911 | 997.618.217.05 | PART=95320 | [427 49E FF] [4AE 55F FF]
911 | 997.618.217.06 | PART=95320 | [427 49E FF] [4AE 55F FF]
911 | 997.618.217.08 | PART=95320 | [427 49E FF] [4AE 55F FF]
911 | 997.618.219.09 | PART=95320 | [426 49E FF] [4AC 55F FF]
996 | 996.618.219.00 | PART=68HC11KA4 | [0 D6 FF]
997 | 997.618.217.07 | PART=95320 | [278 28F 0] [426 68F 0]
BOXER | 996.618.219.01 (957107 01) | PART=68HC11KA4 | [66 AF FF]
BOXER | 996.618.219.02 | | PART=68HC11KA4 | [0 D6 FF]
CAYMAN | 997.618.217.08 | PART=95320 |[278 28F 0] [426 68F 0]
CAYENNE | 7L0 959 655 (0 285 001 991) | PART=95640 | [180 6DF FF][820 A3F FF]
