modelo | nserie | memoria | resetmapa
ECU | 1.5DCI | PART=95160 | [3E0 4FF FF]
ESPACE | 602 53 135 96D | PART=68HC11E20 | [20 6F 00]
ESPACE | 602 53 135 96F | PART=68HC11E20 | [20 5F 00]
ESPACE | 602 53 091 59C | PART=68HC11E20 | [15A 175 00]
ESPACE | 602 53 137 60  | PART=68HC11E20 | [50 108 FF]
ESPACE | 603 78 55 00 V1 | PART=95160 | [500 5FF FF]
ESPACE | 603 78 55 00 V2 | PART=95160 | [300 53F FF]
ESPACE | 8200 313 338 (603 78 55 00) | PART=95160 | [590 70F FF][770 7DF FF][7E9 7FD FF]
ESPACE | 8200 343 321 (603 78 55 00) | PART=95160 | [500 69F 54]
ESPACE | 8200 410 979 (603 78 54 00) | PART=95160 | [590 73F FF][780 7DF FF][7E9 7FD FF]
ESPACE | 8200 412 023 (605 48 77 00) | PART=95160 | [590 73F FF][780 7DF FF][7E9 7FD FF]
ESPACE | 8200 435 005 (605 78 60 00) | PART=95160 | [44F 45F 55][500 69F FF]
ESPACE | 550 73 51 00 (602 53 137 60) | PART=68HC11E9 | [50 108 FF]
ESPACE | 602 53 137 60 (550 73 51 00) | PART=68HC11E9 | [150 158 54]
FLUENCE | 285580610R | PART=95640 | [A0 A0 00] [A1 F0 FF] [457 477 00][478 5A3 FF] [5A4 5E5 00]
FLUENCE | 285580745R | PART=95640 | [A0 A0 00] [A1 F0 FF] [457 477 00][478 5A3 FF] [5A4 5E5 00]
FLUENCE | 285580754R | PART=95640 | [A0 A0 00] [A1 F0 FF] [457 477 00][478 5A3 FF] [5A4 5E5 00]
FLUENCE | 285581088R | PART=95640 | [A0 A0 00] [A1 F0 FF] [457 477 00][478 5A3 FF] [5A4 5E5 00]
FLUENCE | 285581920R | PART=95640 | [A0 A0 00] [A1 F0 FF] [457 477 00][478 5A3 FF] [5A4 5E5 00]
FLUENCE | 285583795R | PART=95640 | [A0 A0 00] [A1 F0 FF] [457 477 00][478 5A3 FF] [5A4 5E5 00]
FLUENCE | 285589637R | PART=95640 | [A0 A0 00] [A1 F0 FF] [457 477 00][478 5A3 FF] [5A4 5E5 00]
KANGOO | 600 58 96 00 - 8200 098 402 V1 | | PART=93C66 | [10A 111 00][112 1D2 FF]
KANGOO | 600 58 96 00 - 8200 098 402 V2 | | PART=93C66 | [12A 134 00][14C 159 FF]
KANGOO | 600 63 94 00 - 8200 117 651 | | PART=95080 | [1C0 20F 00][210 30F FF]
KANGOO | 600 62 92 00 - 8200 272 510 | | PART=95080 | [2C0 2C1 00][2E0 2FF FF]
KANGOO | 603 95 13 00 - 8200 314 053 V1 | PART=95080 | [1C0 20F 00][210 30F FF]
KANGOO | 603 95 13 00 - 8200 314 053 V2 | PART=95080 |[2E0 2FF FF]
KANGOO | 604 64 91 00 - 8200 354 723 | PART=95080 | [1C0 20F 00][210 30F FF]
KANGOO | 604 64 91 00 - 8200 354 723 AA | PART=95080 | [2C0 2C1 00][2E0 2FF FF]
KANGOO | 605 04 49 00 - 8200 381 654 | PART=95080 | [1C0 20F 00][210 30F FF]
KANGOO | 606 08 33 00 - 8200 410 188 | PART=95080 | [1C0 20F 00][210 30F FF]
KANGOO | 8200 410 188 - 606 08 33 00 | PART=95080 | [2C0 2DF 0] [2E0 33F FF]
KANGOO | 8201 025 624 | PART=95160 | [39C 39C 0] [39D 4D2 FF][4D3 4E7 0]
KANGOO | 550 75 18 00 - 8200 098 401 | PART=93C66 |[11A 187 00]
KANGOO | 550 75 18 00 - 8200 098 401 AC | PART=93C66 |[14A 156 00]
KANGOO | 604 04 49 00 | PART=95080 | [2C0 33F FF]
KANGOO | 8200 098 401 (550 75 18 00) | PART=93C66 | [14A 157 FF]
KANGOO | 8200 098 402 (600 58 96 00) | PART=93C66 | [12A 141 FF][142 1D2 54]
KANGOO | 8200 098 402 (600 58 96 00) V2 | PART=93C66 | [10A 1D2 FF]
KANGOO | 8200 098 402 (600 58 96 00) V3 | PART=93C66 | [12A 134 FF][14C 159 FF]
KANGOO | 8200 148 339 (601 09 93 00) | PART=93C66 | [2C0 33F FF][353 3FF FF]
KANGOO | 8200 272 510 (602 62 92 00) | PART=95080 | [2C0 33F FF][353 3FF FF]
KANGOO | 8200 314 053 (603 95 13 00) | PART=95080 | [2C0 2DF FF][2E0 33F 54]
KANGOO | 8200 314 053 (603 95 13 00) V2 | PART=95080 | [2E0 2FF FF]
KANGOO | 8200 354 723 (604 64 91 00) | PART=95080 | [2C0 2DF FF][2E0 33F 54]
KANGOO | 8200 381 656 (605 04 50 00) | PART=95080 | [2C0 33F FF][353 3FF FF]
KANGOO | 8201 025 624 (2840211403) | PART=95160 | [39C 4E7 FF]
KANGOO | 8201 025 625 | PART=95160 | [39C 4E7 FF]
KANGOO | 8201 217 225 | PART=95160 | [39C 39C FF][39D 4D2 54][4D3 4E7 FF][536 546 55][6B5 6FF 54]
KANGOO | 8201 133 333 | PART=95160 | [39C 39C 00][39D 4D2 FF][4D3 4E7 00][6B8 76F 00]
KANGOO | 284 0211 405 | PART=95160 | [39C 39C 00][39D 4D2 FF][4D3 4E7 00][6B8 76F 00]
