modelo | nserie | memoria | resetmapa
BMW | SIEMENS-5WK4060 | PART=16811 | [E 17 00] [18 25 FF]
BMW | E89-BOSCH-3169774201V | PART=95640 | [21C 27B FF] [310 37F FF] [A10 1EA2 FF]
BMW | 0 280 015 31 | PART=95640 | [21C 27B FF] [310 37F FF] [A10 1EA2 FF]
BMW | 65.77 9114214 | PART=95128 | [879 11A5 FF] [11A6 11A6 00] [11A7 11A7 05] [11A8 11A8 00] [11A9 11A9 05] [11AA 1256 00] [1257 1273 FF] [1274 1328 00] [1329 232C FF] [2375 2B4C FF] [2B71 2B82 FF] [2B95 336C FF] [33B5 3FFF FF]
BMW | 65.77 9114215 | PART=95128 | [879 11A5 FF] [11A6 11A6 00] [11A7 11A7 05] [11A8 11A8 00] [11A9 11A9 05] [11AA 1256 00] [1257 1273 FF] [1274 1328 00] [1329 232C FF] [2375 2B4C FF] [2B71 2B82 FF] [2B95 336C FF] [33B5 3FFF FF]
BMW | 65.77 9118749 | PART=95128 | [879 11A5 FF] [11A6 11A6 00] [11A7 11A7 05] [11A8 11A8 00] [11A9 11A9 05] [11AA 1256 00] [1257 1273 FF] [1274 1328 00] [1329 232C FF] [2375 2B4C FF] [2B71 2B82 FF] [2B95 336C FF] [33B5 3FFF FF]
BMW | 65.77 9172019 | PART=95128 | [879 11A5 FF] [11A6 11A6 00] [11A7 11A7 05] [11A8 11A8 00] [11A9 11A9 05] [11AA 1256 00] [1257 1273 FF] [1274 1328 00] [1329 232C FF] [2375 2B4C FF] [2B71 2B82 FF] [2B95 336C FF] [33B5 3FFF FF]
BMW | 65.77 6978373 | PART=95128 | [879 11A5 FF] [11A6 11A6 00] [11A7 11A7 05] [11A8 11A8 00] [11A9 11A9 05] [11AA 1256 00] [1257 1273 FF] [1274 1328 00] [1329 232C FF] [2375 2B4C FF] [2B71 2B82 FF] [2B95 336C FF] [33B5 3FFF FF]
BMW | 65.77 6945401 | PART=95128 | [879 11A5 FF] [11A6 11A6 00] [11A7 11A7 05] [11A8 11A8 00] [11A9 11A9 05] [11AA 1256 00] [1257 1273 FF] [1274 1328 00] [1329 232C FF] [2375 2B4C FF] [2B71 2B82 FF] [2B95 336C FF] [33B5 3FFF FF]
BMW | 65.77 9125224 - 0 285 010 060 | PART=95640 | [21C 2CF FF] [30E 3DF FF] [AB0 1EA2 FF]
BMW | 65.77 9166057 - 0 285 010 066 | PART=95640 | [6AC 1B52 FF]
BMW | 65.77 3424581 - 0 285 001 870 | PART=95640 | [21C 2CF FF] [320 3D3 FF] [AB0 1EA2 FF]
BMW | 65.77 9134280 - 0 285 010 064 | PART=95640 | [21C 2CF FF] [2E0 3D3 FF] [667 9AF 00]
BMW | 65.77 9184432 | PART=95640 | [760 1D17 FF]
BMW | 65.77 8353598 | PART=93C46 | [E 17 00] [18 25 FF]
BMW | 65.77 8372521 | PART=68HC11KA4 | [0 3F FF]
BMW | 65.77 6964607 | PART=95640 | [890 C72 FF]
BMW | 65.77 6978373 | PART=95128 | [15C7 22FF FF] [2375 2B2F FF] [2B95 334F FF]
BMW | 65.77 8353598 | PART=93C46 | [E F FF] [18 25 54]
BMW | 65.77 8372520 | PART=68HC11KA4 | [F 2C FF] [30 7F FF]
BMW | 65.77 8372521 | PART=68HC11KA4 | [0 7F FF]
BMW | 65.77 8372521 V2 | PART=68HC11KA4 | [0 7F 54]
BMW | 65.77 9125224 | PART=95640 | [220 54F FF] [AB0 FC3 FF] [1860 1EA2 FF]
BMW | 65.77 9145401 | PART=95128 | [11A0 126F FF] [1500 168F FF] [2000 3FFF FF]
BMW | 65.77 9165624 | PART=95128 | [3223 3DFF FF]
BMW | 65.77 9166057 | PART=95128 | [898 C72 FF] [1B60 1E8F FF]
BMW | 65.77 9172018-01 | PART=95128 | [11A6 1328 FF] [1500 22FF FF] [2375 2AFF FF] [2B95 32FF FF] [33B5 3FFF FF]
BMW | 65.77 9184432 | PART=95640 | [898 C72 FF] [1B60 1E8F FF]
BMW | 65.77 9184433-02 | PART=95640 | [760 1D17 FF]
BMW | 65.77 9240083 | PART=95128 | [3223 3DFF FF]
E39 | 6577-8372520 | PART=68HC11KA4 | [F 2C FF] [30 7F FF]
E46 | 6577-8372521-MRSZ2 | PART=68HC11KA4 | [F 2C FF] [30 7F FF]
F30 | 0 285 010 085 | PART=95128 | [1800 18FF FF] [3220 39FF FF]
X3 | 0 285 010 086 | PART=95128 | [1800 18FF FF][3220 33E7 FF][33E9 3EBF FF]
520 | 65.77 9145400 - 01 | PART=95128 | [15C7 22FF FF] [2375 2B2F FF] [2B95 334F FF]
520 | 65.77 9145402 - 01 | PART=95128 | [15C7 22FF FF] [2375 2B2F FF] [2B95 334F FF]
X5 | 65.77 9165623 - 01 | PART=95128 | [3223 3DFF FF]
