modelo | nserie | memoria | resetmapa
BERLINGO | 550 89 72 00 - 96 386 042 80 | PART=93C66 | [11E 1DD FF]
BERLINGO | 602 32 76 00 - 96 489 388 80 | PART=95080 | [380 3FF FF]
BERLINGO | 608 99 06 00 - 96 652 501 80 | PART=95320 | [BD9 C4D 0] [C4E C4E 55] [C4F C68 0] [C69 FFF FF]
BERLINGO | 619 90 78 00 - 96 733 936 80 | PART=95320 | [B35 FFF FF]
BERLINGO | 611 01 99 00 - 96 655 583 80 | PART=95320 | [C80 D7F FF] [E80 EDF FF] [F00 F5F FF]
BERLINGO | 611 01 99 00 - 96 735 769 80 | PART=95320 | [C80 D7F FF] [E80 EDF FF] [F00 F5F FF]
BERLINGO | 603 60 24 00 - 96 531 909 80 | PART=95160 | [380 7FF FF]
BERLINGO | 603 60 25 00 - 96 531 908 80 | PART=95160 | [380 7FF FF]
BERLINGO | 603 60 25 00 - 96 531 908 80 AC | PART=95320 | [380 3FF FF]
BERLINGO | 550 74 83 00 - 96 371 768 80 | PART=93C66 | [170 17B 00]
BERLINGO | 602 23 71 00 | PART=95080 | [10 9F FF] [210 3C1 FF] [3C4 3FF FF]
BERLINGO | 611 01 97 00 | PART=95320 | [BA0 C4D 00] [C4E C4E 55] [C4F C4F 00] [C50 C50 55] [C51 C68 00] [C69 FFF FF]
BERLINGO | 611 01 97 00 - 96 735 774 80 | PART=95320 | [BA0 C4D 00] [C4E C4E 55] [C4F C4F 00] [C51 C68 00] [C69 FFF FF]
BERLINGO | 619771400 | PART=95320 | [A70 AAF 00] [AB1 B04 00] [B08 B14 00][B15 B15 55] [B16 B16 00] [B17 B17 55] [B18 B34 00] [C80 FFF FF]
BERLINGO | 619771500 | PART=95320 | [A70 AAF 00] [AB1 B04 00] [B08 B14 00][B15 B15 55] [B16 B16 00] [B17 B17 55] [B18 B34 00] [C80 FFF FF]
BERLINGO | 607 14 28 00 | PART=95080 | [300 32F FF] [340 39F FF]
CITROEN | 550 89 29 00 | PART=95080 | [300 32F 00] [330 3FF FF]
CITROEN | 550 89 29 00 V2 | PART=95080 | [300 32F 00] [330 3FF FF]
CITROEN | 603 60 25 00 | PART=95080 | [290 3FF FF]
C1 | 89170 - 0H010 | PART=95040 | [2E 2E 80] [2F 2F 00] [30 35 FF] [36 36 80] [37 37 00] [38 F1 FF]
C1 | 89170 - 0H020 | PART=95040 | [0 2D FF] [2E 2E 80] [2F 35 FF] [36 36 80] [37 11F FF]
C1 | 89170 - 0H030 | PART=95040 | [0 2D FF] [2E 2E 80] [2F 35 FF] [36 36 80] [37 11F FF]
C1 | 89170 - 0H040 | PART=95040 | [0 2D FF] [2E 2E 80] [2F 2F 00] [30 35 FF] [36 36 80] [37 37 00] [38 11F FF]
C1 | 89170 - 0H050 | PART=95040 | [0 2D FF] [2E 2E 80] [2F 2F 00] [30 35 FF] [36 36 80] [37 37 00] [38 11F FF]
C1 | 89170-0H030 | PART=95040 | [10 2D FF] [2E 2E 80] [2F 31 00] [32 35 FF] [36 36 80] [37 37 00] [38 9A FF] [9B 9B 00] [9C D2 FF] [D3 D3 00] [D4 DF FF]
C2 | 603 48 19 00 - 96 506 859 80 | PART=95320 | [910 B1F FF]
C2 | 96 608 551 80 | PART=95160 | [313 3CD 00] [3D0 60B FF]
C2 | 618 30 06 00 | PART=95320 | [AE4 C17 FF]
C2 | 401 656 A9 | PART=95160 | [4D0 61B FF]
C2 | 96 608 552 80 | PART=95160 | [3D0 61B FF] [6B9 7FF FF]
C2 | 96 615 327 80 | PART=95160 | [3D0 61B FF] [6B9 7FF FF]
C2 | 96 663 557 80 | PART=95160 | [313 3CD FF] [3D0 60B FF]
C3 | 96 607 316 80 | PART=95160 | [500 5F7 FF]
C3 | 96 607 317 80 | PART=95160 | [310 5C5 FF]
C3 | 609 97 36 00 - 96 644 121 80 | PART=95320 | [A17 AC7 0] [AC8 AC8 55] [AC9 AC9 0] [ACA ACA 55] [ACB AE3 0] [AE4 FFF FF]
C3 | 609 97 36 00 - 96 736 549 80 | PART=95320 | [A17 AC7 0] [AC8 AC8 55] [AC9 AC9 0] [ACA ACA 55] [ACB AE3 0] [AE4 FFF FF]
C3 | 618 30 04 00 - 96 736 578 80 | PART=95320 | [AE4 FFF FF]
C3 | 618 30 03 00 - 96 736 579 80 | PART=95320 | [406 416 55]
C3 | 96 609 611 80 | PART=95160 | [500 5F7 FF]
C3 | 96 615 323 80 | PART=95160 | [500 5F7 FF]
C3 | 96 615 324 80 | PART=95160 | [500 5F7 FF]
C3 | 618 30 05 00 | PART=95320 | [AE4 FFF FF]
C3 | 618 30 06 00 | PART=95320 | [AE4 FFF FF]
C3 | 620 67 43 00 | PART=95320 | [C40 FFF FF]
C3 | 403 855 A3 | PART=95160 | [4D0 61B FF]
C3 | 96 609 611 80 | PART=95160 | [4D0 61B FF] [6B9 7FF FF]
C3 | 96 615 324 80 | PART=95160 | [4D0 61B FF] [6B9 7FF FF]
C3 | 96 633 574 80 | PART=95160 | [4D0 61B FF] [6B9 7FF FF]
C3 | 96 615 327 80 | PART=95160 | [313 3CD FF] [3D0 60B FF]
C3 | 96 664 121 80 | PART=95320 | [C80 F6F FF]
