modelo | nserie | memoria | resetmapa
LEXUS | 89170-53230 - 231000-4420 | PART=93C66 | [0 4F FF]
LEXUS | 89170-53240 - 231000-4430 | PART=93C66 | [0 4F FF]
LEXUS | 89170-48140 - 152300-7591 | PART=93C56 | [0 E7 0]
LEXUS | 89170-53110 - 0 285 001 904 | PART=95160 | [0 244 0]
LEXUS | 89170-0E010 | PART=93C66 | [0 28 FF][29 29 5A][2A 2B 54][2C 31 FF][32 33 54] [34 3D FF] [3E 3F 54] [40 E7 FF] [E8 FF 54]
LEXUS | 89170-0E020 | PART=93C66 | [0 28 FF][29 29 2A][2A 2B 54][2C 31 FF][32 33 54] [34 3D FF] [3E 3F 54] [40 E7 FF] [E8 FF 54]
LEXUS | 89170-0W040 | PART=25040 | [48 57 54] [90 FD 54] [100 12F 54]
LEXUS | 89170-0W080 | PART=25080 | [48 57 54] [90 FD 54] [100 12F 54]
LEXUS | 89170-30520 DENSO 152300-8522 | PART=93C56 | [0 28 FF] [29 29 5A][2A 2B 54][2C 31 FF][32 33 54][34 3D FF][3E 3F 54][40 E7 FF][E8 FF 54]
LEXUS | 89170-33470 | PART=93C56 | [0 28 FF][29 29 5A][2A 2B 54][2C 31 FF][32 33 54] [34 3D FF] [3E 3F 54] [40 E7 FF] [E8 FF 54]
RX | 89170-48070 | PART=93C56 | [0 39 FF]
LEXUS | 89170-48080 | PART=93C56 | [0 28 FF][29 29 5A][2A 2B 54][2C 31 FF][32 33 54] [34 3D FF] [3E 3F 54] [40 E7 FF] [E8 FF 54]
LEXUS | 89170-50170 DENSO 152300-6781 | PART=93C56 | [0 38 54] [39 39 FF][3A 4F 54]
LEXUS | 89170-50190 | PART=93C66 | [0 38 54] [39 39 FF] [3A 4F 54]
LEXUS | 89170-53040 DENSO 152300-5071 | PART=93C56 | [0 2F FF] [90 FF 54]
LEXUS | 89170-53050 DENSO 152300-5081 | PART=93C66 | [0 2F FF] [90 FF 54]
LEXUS | 89170-53100 BOSCH 0 285 001 903 | PART=95160 | [0 38 FF]
LEXUS | 89170-60150 | PART=93C56 | [2A 31 FF] [35 3D FF]
LEXUS | 89170-60241 | PART=93C56 | [0 6 FF] [7 7 40] [8 12 FF] [13 13 40][14 1A FF] [1B 1B 40] [1C 26 FF] [27 27 40] [28 28 FF] [29 29 5A] [2A 2A 02][2B 2D FF] [2E 2E 01] [2F 2F 80] [20 31 FF] [32 33 54] [34 34 10] [35 35 FF][36 36 05] [37 3D FF] [3E 3F 54] [40 E7 FF] [E8 FF 54]
CT200H | 89170-76110 | PART=93S66 | [0 4F FF]
RX | 89170-48160 | PART=93C56 | [0 FF FF]
