modelo | nserie | memoria | resetmapa
207 | 96 614 406 80 - 0 285 001 745 | PART=95160 | [0 F 0] [10 37 FF] [38 3F 0] [40 67 FF] [68 6F 0] [70 97 FF] [98 9F 0][A0 C7 FF] [C8 CF 0] [E0 189 0] [6BB 7AF FF]
207 | 96 618 902 80 - 0 285 001 885 | PART=95160 | [6C0 7AF FF]
207 | 96 635 933 80 - 0 285 010 110 | PART=95160 | [6BB 7B0 FF]
207 | 96 635 934 80 - 0 285 010 112 | PART=95160 | [6BB 7AF FF]
207 | 96 656 996 80 - 0 285 010 554 | PART=95160 | [0 F 0] [10 37 FF] [38 3F 0] [40 67 FF] [68 6F 0] [70 97 FF] [98 9F 0][A0 C7 FF] [C8 CF 0] [E0 189 0] [6BB 7AF FF]
207 | 96 656 997 80 - 0 285 010 555 | PART=95160 | [0 F 0] [10 37 FF] [38 3F 0] [40 67 FF] [68 6F 0] [70 97 FF] [98 9F 0][A0 C7 FF] [C8 CF 0] [E0 189 0] [6BB 7AF FF]
207 | 96 644 025 80 - 609 22 10 00 | PART=95320 | [958 BBF FF]
207 | 0 285 001 745 | PART=95160 | [610 6BA 00][6BB 7AF FF][7B0 7DF 00]
207 | 0 285 001 855 | PART=95160 | [610 6BA 00][6BB 7AF FF][7B0 7DF 00]
207 | 0 285 010 110 | PART=95160 | [610 6BA 00][6BB 7AF FF][7B0 7DF 00]
207 | 0 285 010 111 | PART=95160 | [0 F 00][10 37 FF][E0 12F 00][6E0 7B0 FF]
207 | 0 285 010 112 | PART=95160 | [0 F 00][10 37 FF][E0 12F 00][6E0 7B0 FF]
207 | 14 014 078 80 (0 285 010 556) | PART=95160 | [3CC 67F FF]
207 | 96 614 405 80 (0 285 001 746) | PART=95160 | [3CC 67F FF]
207 | 96 614 406 80 (0 285 001 745) | PART=95160 | [6A0 6BA FF][6BB 7AF 54][7B0 7DF FF]
207 | 96 618 902 80 (0 285 001 855) | PART=95160 | [3CC 67F FF]
207 | 96 635 932 80 (0 285 010 111) | PART=95160 | [3CC 67F FF]
207 | 96 635 933 80 (0 285 010 110) | PART=95160 | [6A0 6BA FF][6BB 7AF 54][7B0 7DF FF]
207 | 96 635 934 80 (0 285 010 112) | PART=95160 | [0 F FF][6C0 79F FF]
207 | 96 656 995 80 (0 285 010 553) | PART=95160 | [3CC 67F FF]
207 | 96 656 996 80 (0 285 010 554) | PART=95160 | [3CC 67F FF]
207 | 96 656 997 80 (0 285 010 555) | PART=95160 | [3CC 67F FF]
207 | 96 663 434 80 (0 285 010 525) | PART=95160 | [3CC 67F FF]
207 | 96 668 438 80 (0 285 010 703) | PART=95160 | [3CC 67F FF]
207 | 96 668 439 80 (0 285 010 702) | PART=95160 | [3CC 67F FF]
207 | 96 668 439 80 - 0 285 010 702 | PART=95160 | [3A0 45B FF] [460 4EF 0] [4F0 60F FF]
207 | 96 750 688 80 - 0 285 010 828 | PART=95160 | [3A0 45B FF] [460 4EF 0] [4F0 60F FF]
207CC | 609 22 10 00 | PART=95320 | [960 BBF FF]
208 | 98 033 804 80 (0 285 011 402) | PART=95320 | [400 4BF FF][5B0 75F FF][7D0 7FB FF]
208 | 98 015 228 80 | PART=25320 | [400 4BF FF][580 5CF FF][700 7AF FF][7E0 7FB 00][800 A4F FF]
208 | 0 285 011 279 | PART=25320 | [400 4BF FF][580 5CF FF][700 7AF FF][7E0 7FB 00][800 A4F FF]
208 | 0 285 011 404 | PART=25320 | [400 4BF FF][580 5CF FF][700 7AF FF][7E0 7FB 00][800 A4F FF]
