modelo | nserie | memoria | resetmapa
TWINGO | 402 107 B1 | PART=95160 | [39C 39C 00] [39D 4D2 FF] [4D3 4E7 00]
TWINGO | 402 787 B3 | PART=95160 | [39C 39C 00] [39D 4D2 FF] [4D3 4E7 00][6BB 76F 00]
TWINGO | 402 787 B7 | PART=95160 | [39C 39C 00] [39D 4CF FF] [6C0 76F FF]
TWINGO | 402 792 B0 | PART=95160 | [39C 39C 00] [39D 4D2 FF] [4D3 4E7 00]
TWINGO | 402 792 B3 | PART=95160 | [39C 39C 00] [39D 4CF FF] [6C0 76F FF]
TWINGO | 402 792 B8 | PART=95160 | [39C 39C 00] [39D 4CF FF] [6C0 76F FF]
TWINGO | 8200 491 652 (402 792 A9) | PART=95160 | [39C 4E7 FF]
TWINGO | 8200 491 655 (402 107 B0) | PART=95160 | [39C 4E7 FF]
TWINGO | 8200 714 436 (550 88 53 00) | PART=95080 | [2C0 2DF FF][2E0 33F 54]
TWINGO | 8200 896 811 (402 787 B2) | PART=95160 | [39C 4D3 FF] [692 73F FF]
TWINGO | 8200 896 813 (402 792 B2) | PART=95160 | [39C 4D2 FF] [692 73F FF]
TWINGO | 8201 030 303 (402 787 B3) | PART=95160 | [39C 4D2 FF] [692 73F FF]
TWINGO | 8201 030 306 (402 792 B3) | PART=95160 | [39C 4D2 FF] [536 546 55][691 73F FF]
TWINGO | 8201 030 307 (402 107 B4) | PART=95160 | [39C 4D2 FF] [691 73F FF]
TWINGO | 8200 385 075 (402 787 A9) | PART=95160 | [670 708 FF]
TWINGO | 8200 402 401 (550 88 53 00) | PART=95080 | [2C0 33F FF][353 3FF FF]
TWINGO | 550 54 69 00 - 8200 013 343 | PART=93C66 | [112 14B FF][16C 189 00]
TWINGO | 550 54 69 00 - 8200 013 343 A | PART=93C66 | [14D 158 00]
TWINGO | 550 65 18 00 - 7700 423 313 | PART=68HC11E9 | [100 159 FF]
TWINGO | 550 65 39 00 - 7700 433 757 | PART=93C66 | [112 171 00]
TWINGO | 550 80 48 00 - 8200 018 835 | PART=93C66 | [112 174 FF][195 198 00]
TWINGO | 550 80 48 00-8200 018 835 A | PART=93C66 | [160 174 FF][175 187 00]
TWINGO | 550 80 53 00 | PART=95080 | [1C0 20F 00] [210 30F FF]
TWINGO | 550 88 53 00 - 8200 058 365 | PART=95080 | [310 38F FF]
TWINGO | 550 88 53 00 - 8200 058 365 E V19 | PART=95080 | [2E0 2FF FF]
TWINGO | 550 88 53 00 - 8200 058 365 E V22 | PART=95080 | [2C0 2C1 00][320 33F FF]
TWINGO | 550 88 53 00 - 8200 058 365 E V24 | PART=95080 | [2C0 2C1 00][2E0 2FF FF]
TWINGO | 550 88 53 00 - 8200 058 365 E V26 | PART=95080 | [2E0 33F FF]
TWINGO | 402 107 B3 | PART=95160 | [39C 4E7 FF]
TWINGO | 402 707 B2 | PART=95160 | [39C 4E7 FF]
TWINGO | 550 80 53 00 | PART=95080 | [1C0 30F FF]
TWINGO | 7700 433 757 (550 65 39 00) | PART=93C66 | [162 171 FF]
TWINGO | 8200 013 343 (550 54 69 00) | PART=93C66 | [142 14B 54][14C 159 FF]
TWINGO | 402792B0 - 8200 491 652 | PART=95160 | [39C 39C 0] [39D 4D2 FF] [4D3 4E7 0]
TWINGO | 402792B2 - 8200 869 813 | PART=95160 | [39C 39C 0] [39D 4D2 FF] [4D3 4E7 0]
TWINGO | 402792B2 - 8200 030 306 | PART=95160 | [39C 39C 0] [39D 4D2 FF] [4D3 4E7 0]
TWINGO II | 402 787 A9 | PART=95160 | [39C 39C 00] [39D 4D2 FF] [4D3 4E7 00]
